data_source,deployed_capital_per_observation,economic_result_basis,execution_cost_block,hedged_loss_probability,hedged_max_drawdown,hedged_net_pnl,hedged_roi,hedged_volatility,high_weight,label,low_weight,numeric_provenance,object,observations,paired_net_pnl_difference,sample_count,time_interval,unhedged_loss_probability,unhedged_max_drawdown,unhedged_net_pnl,unhedged_roi,unhedged_volatility,unit
ResearchRun,1.0,ALL_IN_COST_INPUT_REQUIRED,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,0.33748271092669435,17.409368171498485,17.250785973232205,0.023860008261731958,0.5213065335718972,0.9,90/9,0.09999999999999998,USER_SPECIFIED_VALUE,hedge_results,723,-9.18726214033014,1,UNKNOWN,0.3070539419087137,24.395698880174255,26.438048113562346,0.03656714815153851,0.7189974809660932,record
ResearchRun,1.0,ALL_IN_COST_INPUT_REQUIRED,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,0.43291839557399725,11.098845314454149,8.063523832902066,0.011152868371925402,0.3472412605254246,0.8,80/19,0.19999999999999996,USER_SPECIFIED_VALUE,hedge_results,723,-18.37452428066028,1,UNKNOWN,0.3070539419087137,24.395698880174255,26.438048113562346,0.03656714815153851,0.7189974809660932,record
ResearchRun,1.0,ALL_IN_COST_INPUT_REQUIRED,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,0.5200553250345782,6.296178688752658,-1.1237383074280696,-0.0015542715178811473,0.2518041914567784,0.7,70/30,0.30000000000000004,USER_SPECIFIED_VALUE,hedge_results,723,-27.561786420990416,1,UNKNOWN,0.3070539419087137,24.395698880174255,26.438048113562346,0.03656714815153851,0.7189974809660932,record
ResearchRun,1.0,ALL_IN_COST_INPUT_REQUIRED,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,0.6334716459197787,16.781785839854866,-10.311000447758197,-0.014261411407687686,0.3166181855429282,0.6,60/40,0.4,USER_SPECIFIED_VALUE,hedge_results,723,-36.74904856132054,1,UNKNOWN,0.3070539419087137,24.395698880174255,26.438048113562346,0.03656714815153851,0.7189974809660932,record
