bonferroni_p_value,bootstrap_lower,bootstrap_upper,data_source,economic_result_basis,execution_cost_block,family,largest_contribution,losses,matched_events,matched_matches,mean_pnl,net_pnl,numeric_provenance,object,pnl_without_largest,q_value,raw_p_value,reject_reason,rule_id,sample_count,selection_eligible,time_interval,unit,wins
1.0,-32.28821249999998,40.176099999999984,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,564,1684,1684,0.0024593230403800277,4.141499999999967,OBSERVED_VALUE,all_training_conditions,5.0665000000000004,0.9720775371442447,0.41625837416258377,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_ge_-23,1,False,UNKNOWN,record,1120
1.0,-32.769875000000006,39.57671249999998,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,563,1684,1684,0.002649346793349159,4.461499999999983,OBSERVED_VALUE,all_training_conditions,5.386500000000001,0.9720775371442447,0.40405959404059594,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_ge_-38,1,False,UNKNOWN,record,1121
1.0,-52.67492499999998,21.17557499999999,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,563,1686,1686,-0.00904982206405693,-15.257999999999985,OBSERVED_VALUE,all_training_conditions,-14.343,0.9720775371442447,0.7898210178982101,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_ge_-4388,1,False,UNKNOWN,record,1123
1.0,-37.092824999999976,35.4641125,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,565,1686,1686,-0.0005011862396204189,-0.8450000000000263,OBSERVED_VALUE,all_training_conditions,0.08000000000000473,0.9720775371442447,0.5113488651134886,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_ge_-52,1,False,UNKNOWN,record,1121
1.0,-32.00432499999999,40.96082499999995,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,563,1684,1684,0.0030650237529691177,5.161499999999994,OBSERVED_VALUE,all_training_conditions,6.0865,0.9720775371442447,0.40115988401159886,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_ge_300,1,False,UNKNOWN,record,1121
1.0,-50.327087500000005,22.412049999999986,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,551,1652,1652,-0.008779055690072634,-14.50299999999999,OBSERVED_VALUE,all_training_conditions,-13.587999999999997,0.9720775371442447,0.7842215778422158,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_lt_-23,1,False,UNKNOWN,record,1101
1.0,-50.6341375,21.24992499999996,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,528,1585,1585,-0.008734384858044156,-13.843999999999987,OBSERVED_VALUE,all_training_conditions,-12.928999999999998,0.9720775371442447,0.7754224577542246,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_lt_-38,1,False,UNKNOWN,record,1057
1.0,-42.14337499999999,21.882099999999976,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,443,1330,1330,-0.007730451127819553,-10.281500000000005,OBSERVED_VALUE,all_training_conditions,-9.366499999999998,0.9720775371442447,0.7235276472352765,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_lt_-52,1,False,UNKNOWN,record,887
1.0,-52.17174999999999,20.893549999999994,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,563,1686,1686,-0.00904982206405693,-15.257999999999985,OBSERVED_VALUE,all_training_conditions,-14.343,0.9720775371442447,0.796020397960204,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__elapsed_seconds_lt_300,1,False,UNKNOWN,record,1123
1.0,-39.3220625,17.591774999999995,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.905,348,1031,1031,-0.010561105722599412,-10.888499999999993,OBSERVED_VALUE,all_training_conditions,-9.983499999999998,0.9720775371442447,0.7712228777122287,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__level_eq_ATP,1,False,UNKNOWN,record,683
1.0,-26.749112500000003,18.419112499999994,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.915,215,655,655,-0.00667099236641222,-4.369500000000004,OBSERVED_VALUE,all_training_conditions,-3.4545000000000003,0.9720775371442447,0.6488351164883511,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.055__and__level_eq_WTA,1,False,UNKNOWN,record,440
1.0,-52.469174999999986,21.13148749999999,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,path_behavior,-0.915,563,1686,1686,-0.00904982206405693,-15.257999999999985,OBSERVED_VALUE,all_training_conditions,-14.343,0.9720775371442447,0.7922207779222078,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455,1,False,UNKNOWN,record,1123
1.0,-46.24337500000001,24.920049999999996,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,554,1684,1684,-0.006807304038004746,-11.463499999999993,OBSERVED_VALUE,all_training_conditions,-10.538499999999996,0.9720775371442447,0.7314268573142686,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_ge_-23,1,False,UNKNOWN,record,1130
1.0,-47.69767499999999,24.663824999999985,ResearchRun,GROSS_REFERENCE_PROXY,BLOCK_DATA_FEE_SLIPPAGE_LIQUIDITY,pairwise,-0.925,554,1684,1684,-0.006801365795724462,-11.453499999999995,OBSERVED_VALUE,all_training_conditions,-10.528499999999998,0.9720775371442447,0.7331266873312668,FDR_NOT_SIGNIFICANT,absolute_change_ge_-0.455__and__elapsed_seconds_ge_-38,1,False,UNKNOWN,record,1130
